easyqdaFormat,sourceId,type,parentId,name,mediaFile,plainTextFile,citekey,creator,year,title,itemKey,attachmentKey,pageLabel,createdBy,createdAt,modifiedBy,modifiedAt
collection-sources/1,1A2B3C4D-5E6F-5A7B-8C9D-0E1F2A3B4C5D,text,1A2B3C4D-5E6F-5A7B-8C9D-0E1F2A3B4C5D,Beispiel,Beispiel,Beispiel,Beispiel,Beispiel,Beispiel,Beispiel,1A2B3C4D-5E6F-5A7B-8C9D-0E1F2A3B4C5D,1A2B3C4D-5E6F-5A7B-8C9D-0E1F2A3B4C5D,Beispiel,Beispiel,2026-08-05T09:30:00.000Z,Beispiel,2026-08-05T09:30:00.000Z
collection-sources/1,9F8E7D6C-5B4A-5390-8271-6F5E4D3C2B1A,pdf,9F8E7D6C-5B4A-5390-8271-6F5E4D3C2B1A,"Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.",9F8E7D6C-5B4A-5390-8271-6F5E4D3C2B1A,9F8E7D6C-5B4A-5390-8271-6F5E4D3C2B1A,"Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.",2026-08-05T09:30:00.000Z,"Er sagte: ""Ja, wirklich""
und ging; danach nichts.",2026-08-05T09:30:00.000Z
