easyqdaFormat,code,codeId,citekey,creator,year,title,itemKey,attachmentKey,attachmentTitle,pageLabel,annotationKey,annotationType,color,text,comment,weight,allTags,codedBy,codedAt,dateAdded,dateModified,positionKind,positionStart,positionEnd,positionPage,positionRects
fragments/2,Belastung,cX1y2z3a4,Beispiel,Beispiel,Beispiel,Beispiel,cX1y2z3a4,cX1y2z3a4,Beispiel,Beispiel,cX1y2z3a4,highlight,Beispiel,Beispiel,Beispiel,3,#Code A|wichtig,Beispiel,2026-08-05T09:30:00.000Z,2026-08-05T09:30:00.000Z,2026-08-05T09:30:00.000Z,text,120,180,,
fragments/2,"Belastung/beruflich, akut",cQ9w8e7r6,"Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.",cQ9w8e7r6,cQ9w8e7r6,"Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.",cQ9w8e7r6,highlight,"Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.","Er sagte: ""Ja, wirklich""
und ging; danach nichts.",0,#Code A|#Code B,"Er sagte: ""Ja, wirklich""
und ging; danach nichts.",2026-08-05T09:30:00.000Z,2026-08-05T09:30:00.000Z,2026-08-05T09:30:00.000Z,pdf,,,3,10.5 20 110 32|10.5 33 90 45
