zotqdaFormat,code,codeId,citekey,creator,year,title,itemKey,attachmentKey,attachmentTitle,pageLabel,annotationKey,annotationType,color,text,comment,weight,allTags,codedBy,codedAt,dateAdded,dateModified,positionKind,positionStart,positionEnd,positionPage,positionRects
fragments/1,Ressourcen/Team,cbe124367,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0001,highlight,#2ea8e5,Auszug 0001,,1,#Code Ressourcen/Team,ann,2026-06-08T09:03:00.000Z,2026-06-08T09:03:00.000Z,2026-06-08T09:03:00.000Z,text,34,119,,
fragments/1,Belastung/körperlich,c4d31cf9b,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0002,highlight,#ff6666,Auszug 0002,,1,#Code Belastung/körperlich,ann,2026-06-08T09:18:00.000Z,2026-06-08T09:18:00.000Z,2026-06-08T09:18:00.000Z,text,182,245,,
fragments/1,Belastung/körperlich,c4d31cf9b,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0002,highlight,#ff6666,Auszug 0002,,1,#Code Belastung/körperlich,bob,2026-06-08T09:18:00.000Z,2026-06-08T09:18:00.000Z,2026-06-08T09:18:00.000Z,text,182,245,,
fragments/1,Ressourcen/Anerkennung,cf30ac49f,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0003,highlight,#2ea8e5,Auszug 0003,,1,#Code Ressourcen/Anerkennung,ann,2026-06-08T09:29:00.000Z,2026-06-08T09:29:00.000Z,2026-06-08T09:29:00.000Z,text,295,506,,
fragments/1,Ressourcen/Anerkennung,cf30ac49f,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0003,highlight,#2ea8e5,Auszug 0003,,1,#Code Ressourcen/Anerkennung,bob,2026-06-08T09:29:00.000Z,2026-06-08T09:29:00.000Z,2026-06-08T09:29:00.000Z,text,295,506,,
fragments/1,Belastung/Zeitdruck,ca94d6b9f,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0004,highlight,#ff6666,Auszug 0004,,1,#Code Belastung/Zeitdruck,ann,2026-06-08T09:55:00.000Z,2026-06-08T09:55:00.000Z,2026-06-08T09:55:00.000Z,text,552,726,,
fragments/1,Belastung/Zeitdruck,ca94d6b9f,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0004,highlight,#ff6666,Auszug 0004,,1,#Code Belastung/Zeitdruck,bob,2026-06-08T09:55:00.000Z,2026-06-08T09:55:00.000Z,2026-06-08T09:55:00.000Z,text,552,726,,
fragments/1,Bewältigung/Distanz,c0bac907c,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0004,highlight,#5fb236,Auszug 0004,,1,#Code Bewältigung/Distanz,ann,2026-06-08T09:55:00.000Z,2026-06-08T09:55:00.000Z,2026-06-08T09:55:00.000Z,text,552,726,,
fragments/1,Ressourcen/Team,cbe124367,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0005,highlight,#2ea8e5,Auszug 0005,,1,#Code Ressourcen/Team,ann,2026-06-08T10:19:00.000Z,2026-06-08T10:19:00.000Z,2026-06-08T10:19:00.000Z,text,793,891,,
fragments/1,Ressourcen/Team,cbe124367,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0005,highlight,#2ea8e5,Auszug 0005,,1,#Code Ressourcen/Team,bob,2026-06-08T10:19:00.000Z,2026-06-08T10:19:00.000Z,2026-06-08T10:19:00.000Z,text,793,891,,
fragments/1,Belastung/emotional,c96c04b3c,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0005,highlight,#ff6666,Auszug 0005,,1,#Code Belastung/emotional,bob,2026-06-08T10:19:00.000Z,2026-06-08T10:19:00.000Z,2026-06-08T10:19:00.000Z,text,793,891,,
fragments/1,Bewältigung/Humor,cdd0640c6,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0006,highlight,#5fb236,Auszug 0006,,1,#Code Bewältigung/Humor,ann,2026-06-08T10:31:00.000Z,2026-06-08T10:31:00.000Z,2026-06-08T10:31:00.000Z,text,913,1071,,
fragments/1,Belastung/Zeitdruck,ca94d6b9f,Station-1,Demo,2026,Interview Station-1,ITEMSTAT100,ATTASTAT100,Station-1.txt,1,DEMO0007,highlight,#ff6666,Auszug 0007,,1,#Code Belastung/Zeitdruck,ann,2026-06-08T10:52:00.000Z,2026-06-08T10:52:00.000Z,2026-06-08T10:52:00.000Z,text,1128,1323,,
