zotqdaFormat,ts,user,action,code,annotationKey,citekey,creator,year,title,pageLabel,text
history/1,2026-06-08T09:00:00.000Z,bob,add,Belastung/emotional,DEMO0219,Verwaltung-4,Demo,2026,Interview Verwaltung-4,2,Auszug 0219
history/1,2026-06-08T09:37:00.000Z,ann,add,Bewältigung/Humor,DEMO0056,Station-2,Demo,2026,Interview Station-2,3,Auszug 0056
history/1,2026-06-08T10:14:00.000Z,ann,add,Belastung/emotional,DEMO0042,Station-2,Demo,2026,Interview Station-2,2,Auszug 0042
history/1,2026-06-08T10:51:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0123,Verwaltung-1,Demo,2026,Interview Verwaltung-1,1,Auszug 0123
history/1,2026-06-08T11:28:00.000Z,bob,add,Bewältigung/Humor,DEMO0064,Station-3,Demo,2026,Interview Station-3,1,Auszug 0064
history/1,2026-06-08T12:05:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0192,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0192
history/1,2026-06-08T12:42:00.000Z,ann,add,Ressourcen/Team,DEMO0134,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0134
history/1,2026-06-08T13:19:00.000Z,bob,add,Belastung/emotional,DEMO0080,Station-3,Demo,2026,Interview Station-3,3,Auszug 0080
history/1,2026-06-08T13:56:00.000Z,ann,add,Belastung/emotional,DEMO0149,Verwaltung-2,Demo,2026,Interview Verwaltung-2,1,Auszug 0149
history/1,2026-06-08T14:33:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0038,Station-2,Demo,2026,Interview Station-2,1,Auszug 0038
history/1,2026-06-08T15:10:00.000Z,ann,add,Bewältigung/Humor,DEMO0030,Station-1,Demo,2026,Interview Station-1,4,Auszug 0030
history/1,2026-06-08T15:47:00.000Z,ann,add,Belastung/körperlich,DEMO0025,Station-1,Demo,2026,Interview Station-1,4,Auszug 0025
history/1,2026-06-08T16:24:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0023,Station-1,Demo,2026,Interview Station-1,3,Auszug 0023
history/1,2026-06-08T17:01:00.000Z,bob,add,Belastung/emotional,DEMO0091,Station-4,Demo,2026,Interview Station-4,1,Auszug 0091
history/1,2026-06-08T17:38:00.000Z,ann,add,Belastung/emotional,DEMO0071,Station-3,Demo,2026,Interview Station-3,2,Auszug 0071
history/1,2026-06-08T18:15:00.000Z,ann,add,Bewältigung/Distanz,DEMO0172,Verwaltung-2,Demo,2026,Interview Verwaltung-2,4,Auszug 0172
history/1,2026-06-08T18:52:00.000Z,ann,add,Bewältigung/Sport,DEMO0183,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0183
history/1,2026-06-08T19:29:00.000Z,ann,add,Bewältigung/Distanz,DEMO0127,Verwaltung-1,Demo,2026,Interview Verwaltung-1,2,Auszug 0127
history/1,2026-06-08T20:06:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0230,Verwaltung-4,Demo,2026,Interview Verwaltung-4,4,Auszug 0230
history/1,2026-06-08T20:43:00.000Z,ann,add,Bewältigung/Humor,DEMO0034,Station-2,Demo,2026,Interview Station-2,1,Auszug 0034
history/1,2026-06-08T21:20:00.000Z,ann,add,Belastung/emotional,DEMO0061,Station-3,Demo,2026,Interview Station-3,1,Auszug 0061
history/1,2026-06-08T21:57:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0191,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0191
history/1,2026-06-08T22:34:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0203,Verwaltung-3,Demo,2026,Interview Verwaltung-3,4,Auszug 0203
history/1,2026-06-08T23:11:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0119,Verwaltung-1,Demo,2026,Interview Verwaltung-1,1,Auszug 0119
history/1,2026-06-08T23:48:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0223,Verwaltung-4,Demo,2026,Interview Verwaltung-4,3,Auszug 0223
history/1,2026-06-09T00:25:00.000Z,ann,add,Bewältigung/Distanz,DEMO0206,Verwaltung-4,Demo,2026,Interview Verwaltung-4,1,Auszug 0206
history/1,2026-06-09T01:02:00.000Z,ann,add,Ressourcen/Team,DEMO0097,Station-4,Demo,2026,Interview Station-4,1,Auszug 0097
history/1,2026-06-09T01:39:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0188,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0188
history/1,2026-06-09T02:16:00.000Z,bob,add,Bewältigung/Sport,DEMO0197,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0197
history/1,2026-06-09T02:53:00.000Z,bob,add,Bewältigung/Distanz,DEMO0140,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0140
history/1,2026-06-09T03:30:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0054,Station-2,Demo,2026,Interview Station-2,3,Auszug 0054
history/1,2026-06-09T04:07:00.000Z,bob,add,Ressourcen/Team,DEMO0035,Station-2,Demo,2026,Interview Station-2,1,Auszug 0035
history/1,2026-06-09T04:44:00.000Z,bob,add,Belastung/emotional,DEMO0021,Station-1,Demo,2026,Interview Station-1,3,Auszug 0021
history/1,2026-06-09T05:21:00.000Z,ann,add,Bewältigung/Humor,DEMO0087,Station-3,Demo,2026,Interview Station-3,4,Auszug 0087
history/1,2026-06-09T05:58:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0140,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0140
history/1,2026-06-09T06:35:00.000Z,ann,add,Belastung/körperlich,DEMO0065,Station-3,Demo,2026,Interview Station-3,1,Auszug 0065
history/1,2026-06-09T07:12:00.000Z,bob,add,Bewältigung/Distanz,DEMO0074,Station-3,Demo,2026,Interview Station-3,2,Auszug 0074
history/1,2026-06-09T07:49:00.000Z,ann,add,Bewältigung/Humor,DEMO0130,Verwaltung-1,Demo,2026,Interview Verwaltung-1,2,Auszug 0130
history/1,2026-06-09T08:26:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0041,Station-2,Demo,2026,Interview Station-2,2,Auszug 0041
history/1,2026-06-09T09:03:00.000Z,ann,add,Bewältigung/Distanz,DEMO0121,Verwaltung-1,Demo,2026,Interview Verwaltung-1,1,Auszug 0121
history/1,2026-06-09T09:40:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0123,Verwaltung-1,Demo,2026,Interview Verwaltung-1,1,Auszug 0123
history/1,2026-06-09T10:17:00.000Z,bob,add,Bewältigung/Sport,DEMO0212,Verwaltung-4,Demo,2026,Interview Verwaltung-4,1,Auszug 0212
history/1,2026-06-09T10:54:00.000Z,bob,add,Bewältigung/Distanz,DEMO0172,Verwaltung-2,Demo,2026,Interview Verwaltung-2,4,Auszug 0172
history/1,2026-06-09T11:31:00.000Z,bob,add,Ressourcen/Team,DEMO0005,Station-1,Demo,2026,Interview Station-1,1,Auszug 0005
